,model,year,price,transmission,mileage,fuelType,engineSize
0, C Class,2019,25990,Semi-Auto,11728,Diesel,2.0
1, C Class,2017,19240,Semi-Auto,33022,Diesel,2.1
2, C Class,2020,69995,Semi-Auto,250,Petrol,4.0
3, C Class,2016,14477,Automatic,72000,Diesel,1.6
4, C Class,2019,22890,Automatic,6037,Petrol,1.5
5, C Class,2018,22680,Semi-Auto,7470,Diesel,2.0
6, C Class,2019,30299,Semi-Auto,2230,Diesel,2.0
7, C Class,2018,16800,Automatic,30726,Diesel,2.1
8, C Class,2019,25980,Semi-Auto,14284,Diesel,2.0
9, C Class,2020,41450,Automatic,3897,Petrol,1.5
10, C Class,2017,14999,Semi-Auto,35600,Petrol,2.0
11, C Class,2020,33998,Automatic,2000,Diesel,2.0
12, C Class,2019,31599,Semi-Auto,5800,Petrol,1.5
13, C Class,2018,19998,Semi-Auto,11468,Petrol,2.0
14, C Class,2015,14370,Automatic,49468,Diesel,2.1
15, C Class,2017,17800,Automatic,29831,Diesel,2.1
16, C Class,2015,13448,Semi-Auto,31878,Diesel,2.1
17, C Class,2019,20980,Semi-Auto,12794,Diesel,2.0
18, C Class,2017,20591,Semi-Auto,21023,Diesel,2.1
19, C Class,2017,14200,Automatic,53528,Diesel,2.1
20, C Class,2012,8490,Automatic,54000,Diesel,2.1
21, C Class,2019,23400,Automatic,8000,Petrol,1.5
22, C Class,2019,28332,Automatic,7866,Diesel,2.0
23, C Class,2017,20500,Semi-Auto,40782,Diesel,2.1
24, C Class,2014,15894,Semi-Auto,33896,Diesel,2.1
25, C Class,2016,13600,Manual,46384,Petrol,2.0
26, C Class,2014,13295,Semi-Auto,38644,Petrol,1.6
27, C Class,2019,28300,Semi-Auto,6519,Petrol,2.0
28, C Class,2019,23879,Manual,1000,Petrol,1.6
29, C Class,2018,22900,Semi-Auto,4500,Petrol,1.5
30, C Class,2018,24600,Semi-Auto,8223,Diesel,2.1
31, C Class,2016,17491,Semi-Auto,33532,Diesel,2.1
32, C Class,2019,28749,Semi-Auto,13741,Diesel,2.0
33, C Class,2017,18995,Automatic,23606,Hybrid,2.0
34, C Class,2017,19999,Semi-Auto,9453,Diesel,2.1
35, C Class,2014,8999,Automatic,85699,Diesel,2.1
36, C Class,2017,20995,Semi-Auto,14800,Diesel,2.1
37, C Class,2018,22680,Automatic,20039,Diesel,2.1
38, C Class,2019,30490,Automatic,4759,Diesel,2.0
39, C Class,2019,25549,Semi-Auto,14995,Diesel,2.0
40, C Class,2019,25900,Automatic,1100,Petrol,1.6
41, C Class,2018,17999,Automatic,38169,Diesel,2.1
42, C Class,2018,18500,Automatic,24277,Diesel,2.1
43, C Class,2005,2995,Automatic,102500,Diesel,2.1
