,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, Fiesta,2019,17298,Semi-Auto,1434,Petrol,150,48.7,1.0
1, Fiesta,2019,12450,Manual,350,Petrol,145,58.9,1.0
2, B-MAX,2015,5991,Semi-Auto,52515,Petrol,165,44.1,1.6
3, Fiesta,2015,8600,Manual,16682,Petrol,0,65.7,1.0
4, Kuga,2017,12000,Manual,19690,Petrol,150,45.6,1.5
5, Edge,2017,19395,Semi-Auto,39000,Diesel,160,48.7,2.0
6, Focus,2017,12120,Manual,16853,Petrol,145,57.7,1.0
7, Focus,2015,9250,Manual,24614,Petrol,20,61.4,1.0
8, Kuga,2014,11995,Automatic,40221,Petrol,235,38.2,1.5
9, Ka+,2018,8695,Manual,7379,Petrol,145,47.9,1.2
10, Focus,2016,7990,Manual,52000,Diesel,0,74.3,1.5
11, Fiesta,2019,13499,Manual,9855,Petrol,145,56.5,1.0
12, Fiesta,2018,10498,Manual,6188,Petrol,150,55.4,1.1
13, Fiesta,2014,9195,Manual,18980,Petrol,0,65.7,1.0
14, Fiesta,2018,11000,Manual,12351,Petrol,145,65.7,1.0
15, Focus,2019,15690,Manual,10000,Diesel,145,74.3,1.5
16, Fiesta,2017,6760,Manual,63998,Diesel,0,78.5,1.5
17, Kuga,2019,16399,Manual,6134,Petrol,145,39.2,1.5
18, KA,2014,3495,Manual,50452,Petrol,30,57.7,1.2
19, Focus,2015,10590,Automatic,20701,Petrol,145,46.3,1.5
20, Ka+,2019,10495,Manual,7902,Petrol,145,43.5,1.2
21, Fiesta,2017,11691,Semi-Auto,5606,Petrol,0,57.7,1.0
22, S-MAX,2017,20999,Semi-Auto,17864,Diesel,145,52.3,2.0
23, Fiesta,2017,9350,Manual,19367,Petrol,145,64.2,1.1
24, Fiesta,2017,10999,Manual,9289,Petrol,145,65.7,1.0
25, Ka+,2017,8300,Manual,15629,Petrol,145,57.7,1.2
26, Focus,2016,9710,Manual,14661,Petrol,20,61.4,1.0
27, Fiesta,2017,12000,Manual,23423,Petrol,145,47.9,1.6
28, Kuga,2017,18450,Semi-Auto,24277,Diesel,145,54.3,2.0
29, Fiesta,2018,12495,Manual,15500,Petrol,150,58.9,1.0
30, EcoSport,2016,8995,Manual,39968,Petrol,125,52.3,1.0
31, Grand C-MAX,2017,11500,Manual,29881,Petrol,30,54.3,1.0
32, B-MAX,2017,9899,Manual,4629,Petrol,145,47.1,1.4
33, Focus,2016,8498,Manual,49974,Diesel,0,74.3,1.5
34, Focus,2019,15750,Manual,14195,Petrol,145,58.9,1.0
35, Kuga,2018,17990,Manual,30875,Diesel,145,54.3,2.0
36, Fiesta,2017,8291,Manual,29491,Petrol,150,65.7,1.0
37, Fiesta,2012,4963,Manual,45000,Diesel,20,68.9,1.4
38, Focus,2020,28998,Manual,2985,Petrol,145,34.5,2.3
39, Fiesta,2019,13950,Manual,14459,Petrol,145,58.9,1.0
40, Puma,2020,19979,Manual,1440,Petrol,145,51.4,1.0
41, Fiesta,2018,11320,Manual,32185,Petrol,145,65.7,1.0
42, Focus,2019,16499,Manual,5663,Petrol,145,49.6,1.0
43, Focus,2020,21499,Manual,807,Diesel,145,62.8,1.5
44, Grand C-MAX,2016,11995,Manual,19000,Petrol,30,54.3,1.0
45, Fiesta,2018,11490,Manual,34575,Petrol,145,65.7,1.0
46, Focus,2018,19000,Manual,14682,Petrol,145,41.5,2.0
47, Kuga,2017,14998,Manual,37838,Diesel,145,64.2,1.5
48, Fiesta,2019,12299,Manual,4132,Petrol,145,48.7,1.1
49, EcoSport,2017,9990,Manual,12000,Petrol,150,53.3,1.0
50, Fiesta,2017,8990,Manual,67336,Petrol,150,47.9,1.6
51, Focus,2019,18000,Automatic,6957,Diesel,145,64.2,2.0
52, Focus,2019,15890,Manual,13773,Petrol,145,58.9,1.0
53, Focus,2019,14798,Automatic,12848,Petrol,150,50.4,1.0
54, Fiesta,2017,9450,Manual,29926,Petrol,145,65.7,1.0
55, Focus,2017,16190,Manual,16519,Petrol,145,41.5,2.0
56, Focus,2017,16950,Manual,15453,Petrol,145,41.5,2.0
57, Focus,2018,19999,Manual,7918,Petrol,145,41.5,2.0
58, S-MAX,2014,10911,Automatic,40000,Diesel,300,39.8,2.2
