,model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
0, I10,2017,6380,Manual,34124,Petrol,30,57.6,1.2
1, I30,2019,15450,Manual,3107,Petrol,145,44.8,1.4
2, I20,2016,8491,Manual,21017,Petrol,20,62.8,1.0
3, Ioniq,2019,22995,Automatic,9000,Hybrid,135,78.5,1.6
4, I10,2013,3995,Manual,42000,Petrol,20,61.4,1.2
5, Tucson,2017,13500,Manual,27191,Diesel,30,61.7,1.7
6, Tucson,2018,16990,Automatic,25814,Petrol,145,39.8,1.6
7, I30,2016,9460,Manual,22873,Petrol,145,48.7,1.4
8, IX35,2014,8499,Manual,44016,Diesel,145,53.3,1.7
9, Santa Fe,2018,28490,Semi-Auto,10500,Diesel,145,39.8,2.2
10, I20,2017,8995,Manual,27921,Petrol,150,55.4,1.2
11, I10,2016,5485,Manual,25857,Petrol,20,60.1,1.0
12, Tucson,2016,13498,Manual,26677,Diesel,30,61.7,1.7
13, I20,2015,6650,Manual,29861,Petrol,30,55.4,1.2
14, Tucson,2016,12769,Manual,52417,Diesel,150,54.3,2.0
15, I30,2017,9499,Manual,34817,Diesel,145,74.3,1.6
16, Tucson,2017,12490,Manual,24230,Petrol,160,44.8,1.6
17, Ioniq,2018,13795,Automatic,37221,Hybrid,135,78.5,1.6
18, Tucson,2017,13295,Manual,29158,Diesel,30,61.7,1.7
19, I20,2017,7599,Manual,32562,Petrol,145,55.4,1.2
20, Kona,2018,13147,Manual,5971,Petrol,145,52.3,1.0
21, Santa Fe,2016,17690,Semi-Auto,48155,Diesel,235,42.2,2.2
22, Ioniq,2018,17690,Automatic,15014,Hybrid,135,78.5,1.6
23, Ioniq,2017,17870,Automatic,6467,Hybrid,135,78.5,1.6
24, I10,2018,7495,Manual,22773,Petrol,145,60.1,1.0
25, IX20,2017,10654,Automatic,14847,Petrol,145,43.5,1.6
26, Tucson,2016,12067,Manual,27397,Petrol,165,44.8,1.6
27, I20,2018,8500,Manual,18575,Petrol,150,58.9,1.2
28, Tucson,2017,13599,Manual,13298,Petrol,145,44.8,1.6
29, I10,2017,7500,Manual,13088,Petrol,30,57.7,1.2
30, I10,2018,10442,Semi-Auto,8033,Petrol,145,47.9,1.2
31, I10,2015,5429,Manual,41682,Petrol,20,60.1,1.0
32, I40,2016,12495,Semi-Auto,31339,Diesel,125,56.5,1.7
33, I10,2017,6495,Manual,12987,Petrol,150,60.1,1.0
