,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, A Class,2018,18470,Automatic,14291,Petrol,145,52.3,1.6
1, C Class,2015,29900,Automatic,33521,Petrol,300,34.5,4.0
2, C Class,2019,41499,Semi-Auto,8116,Petrol,145,30.4,3.0
3, A Class,2019,25650,Automatic,4001,Diesel,145,62.8,1.5
4, GLC Class,2020,37189,Semi-Auto,1000,Diesel,145,40.9,2.0
5, A Class,2019,29991,Automatic,3608,Petrol,145,53.3,1.3
6, GLA Class,2019,21795,Semi-Auto,7326,Petrol,150,44.8,1.6
7, GLA Class,2017,19699,Automatic,24192,Diesel,145,56.5,2.1
8, C Class,2015,16995,Manual,15000,Diesel,20,68.9,2.1
9, C Class,2012,10499,Automatic,47200,Petrol,165,44.8,1.6
10, GLC Class,2017,25998,Semi-Auto,46453,Diesel,145,56.5,2.1
11, C Class,2016,13999,Manual,28960,Diesel,20,72.4,1.6
12, E Class,2017,20991,Automatic,28194,Diesel,20,72.4,2.0
13, CL Class,2019,29980,Semi-Auto,3999,Petrol,145,44.1,1.3
14, A Class,2019,19980,Semi-Auto,14430,Diesel,145,65.7,1.5
15, E Class,2019,26099,Semi-Auto,6305,Diesel,145,72.4,2.0
16, E Class,2015,18498,Semi-Auto,40348,Diesel,145,54.3,3.0
17, C Class,2020,32480,Semi-Auto,16,Diesel,145,64.2,2.0
18, A Class,2019,22360,Automatic,9546,Diesel,145,56.5,2.0
19, GL Class,2015,15499,Automatic,45132,Diesel,125,56.5,2.1
20, A Class,2019,24700,Manual,6000,Petrol,145,47.1,1.3
21, C Class,2019,33999,Semi-Auto,1000,Diesel,145,57.7,2.0
22, E Class,2019,37991,Automatic,3790,Diesel,145,45.6,2.0
23, V Class,2018,19998,Manual,27222,Diesel,145,46.3,2.1
24, C Class,2018,23299,Semi-Auto,17000,Diesel,145,67.3,2.1
25, A Class,2020,138439,Semi-Auto,1000,Petrol,145,22.1,4.0
26, CLS Class,2018,36500,Semi-Auto,1841,Diesel,145,48.7,2.9
27, C Class,2019,20349,Semi-Auto,14005,Petrol,145,46.3,1.5
28, A Class,2019,99950,Automatic,2013,Petrol,145,22.6,4.0
29, C Class,2016,12800,Manual,40595,Diesel,20,70.6,2.1
30, GLA Class,2019,23399,Semi-Auto,10621,Diesel,145,67.3,2.1
31, E Class,2019,28990,Automatic,20,Diesel,145,72.4,2.0
32, GLA Class,2019,25399,Semi-Auto,1690,Diesel,145,64.2,2.1
33, A Class,2014,12499,Manual,46274,Diesel,20,70.6,1.5
34, C Class,2019,28299,Automatic,1142,Petrol,145,44.1,2.0
35, B Class,2017,11990,Manual,43069,Diesel,145,68.9,1.5
36, C Class,2019,34199,Semi-Auto,4229,Diesel,145,55.4,2.0
37, E Class,2007,4880,Automatic,58000,Diesel,315,37.2,3.0
38, CL Class,2019,26349,Semi-Auto,10893,Diesel,145,51.4,2.2
39, A Class,2016,14799,Manual,33202,Diesel,30,62.8,2.1
40, C Class,2019,24299,Semi-Auto,14333,Diesel,145,61.4,2.0
41, A Class,2014,10775,Automatic,57456,Diesel,20,68.9,2.1
42, E Class,2020,39989,Semi-Auto,2400,Diesel,145,57.7,2.0
43, GLE Class,2019,45995,Automatic,6500,Diesel,145,36.7,2.0
44, A Class,2017,16795,Manual,25112,Petrol,150,49.6,1.6
45, GLE Class,2020,48980,Semi-Auto,3999,Diesel,145,36.7,2.0
46, E Class,2017,23462,Semi-Auto,17360,Diesel,145,51.4,3.0
47, A Class,2019,18946,Semi-Auto,15443,Diesel,145,65.7,1.5
48, A Class,2017,15499,Manual,20645,Diesel,145,68.9,1.5
49, C Class,2019,30480,Semi-Auto,4688,Diesel,145,61.4,2.0
50, A Class,2015,13799,Automatic,67917,Diesel,20,68.9,2.1
51, CLA Class,2017,15600,Manual,22171,Petrol,145,51.4,1.6
52, E Class,2018,22490,Automatic,36000,Diesel,145,72.4,2.0
53, B Class,2020,20350,Manual,1501,Petrol,145,45.6,1.3
54, A Class,2017,15124,Manual,15080,Diesel,145,72.4,1.5
55, E Class,2019,25480,Semi-Auto,12954,Diesel,145,72.4,2.0
56, A Class,2016,14541,Manual,17474,Diesel,20,72.4,1.5
57, C Class,2020,30395,Automatic,2500,Diesel,145,64.2,2.0
58, A Class,2020,26519,Semi-Auto,1000,Petrol,145,53.3,1.3
59, SLK,2014,13650,Semi-Auto,34170,Petrol,200,43.5,2.0
60, C Class,2019,24995,Automatic,3485,Petrol,145,46.3,1.5
61, GLS Class,2018,43999,Semi-Auto,8963,Diesel,145,37.2,3.0
62, C Class,2016,18480,Semi-Auto,25996,Diesel,30,64.2,2.1
63, GLC Class,2016,22500,Semi-Auto,26789,Diesel,125,56.5,2.1
64, E Class,2018,26490,Semi-Auto,20316,Diesel,145,70.6,2.0
65, A Class,2018,18436,Semi-Auto,7756,Diesel,145,68.9,1.5
66, A Class,2019,17980,Semi-Auto,17842,Diesel,145,65.7,1.5
67, C Class,2017,19299,Semi-Auto,30577,Diesel,30,64.2,2.1
68, SL CLASS,2018,39900,Automatic,12975,Petrol,145,36.7,3.0
69, C Class,2020,34900,Semi-Auto,3478,Petrol,145,44.1,2.0
70, GLA Class,2019,24539,Semi-Auto,2480,Diesel,145,64.2,2.1
71, A Class,2016,12990,Manual,44000,Diesel,20,68.9,1.5
72, GLC Class,2016,22248,Automatic,32726,Diesel,125,56.5,2.1
73, C Class,2019,26176,Semi-Auto,14232,Petrol,145,47.1,1.5
74, C Class,2014,9891,Semi-Auto,52500,Diesel,125,57.7,2.1
75, C Class,2016,13412,Semi-Auto,54546,Petrol,125,53.3,2.0
76, C Class,2017,21998,Semi-Auto,15935,Diesel,145,61.4,2.1
77, A Class,2019,36987,Automatic,4399,Petrol,145,36.7,2.0
78, C Class,2019,23499,Manual,712,Petrol,145,47.1,1.6
79, C Class,2013,22995,Semi-Auto,49964,Petrol,570,23.0,6.2
80, A Class,2018,19891,Semi-Auto,25677,Petrol,150,53.3,1.3
81, GLC Class,2017,26995,Semi-Auto,17987,Diesel,125,56.5,2.1
82, C Class,2014,10699,Automatic,50179,Diesel,145,53.3,2.1
83, E Class,2019,33350,Semi-Auto,3692,Diesel,145,45.6,2.0
84, GLE Class,2016,25995,Semi-Auto,86364,Hybrid,0,76.4,3.0
85, C Class,2019,28299,Semi-Auto,5005,Diesel,145,56.5,2.0
86, GLA Class,2016,16485,Manual,12400,Diesel,20,64.2,2.1
87, GLC Class,2019,38999,Automatic,6148,Diesel,145,40.9,2.0
88, E Class,2018,57599,Semi-Auto,89,Petrol,145,30.1,4.0
89, E Class,2016,17799,Automatic,26234,Diesel,20,72.4,2.0
90, GLE Class,2019,53199,Semi-Auto,2504,Diesel,150,32.8,2.9
91, CLS Class,2016,22998,Semi-Auto,13720,Diesel,165,51.4,3.0
92, C Class,2015,12990,Automatic,87000,Diesel,30,64.2,2.1
93, CL Class,2015,14340,Automatic,51168,Diesel,20,68.9,2.1
94, CLS Class,2018,41112,Semi-Auto,8673,Petrol,145,36.2,3.0
95, C Class,2019,33799,Semi-Auto,5669,Diesel,145,55.4,2.0
96, B Class,2019,22299,Semi-Auto,12406,Petrol,145,45.6,1.3
97, E Class,2017,22740,Automatic,25567,Diesel,145,51.4,3.0
98, GLE Class,2017,38191,Automatic,19157,Petrol,145,32.8,3.0
99, A Class,2017,17490,Automatic,12355,Diesel,145,68.9,2.1
100, GLA Class,2019,25099,Semi-Auto,4938,Diesel,145,64.2,2.1
101, C Class,2020,40179,Semi-Auto,1000,Diesel,145,54.3,2.0
102, S Class,2018,41999,Semi-Auto,8107,Diesel,145,52.3,3.0
103, A Class,2018,17649,Semi-Auto,14983,Diesel,145,68.9,2.1
104, V Class,2018,19346,Manual,32095,Diesel,150,46.3,2.1
105, GLE Class,2017,28498,Automatic,34236,Diesel,145,42.8,3.0
106, GLC Class,2017,27700,Automatic,16907,Diesel,150,56.5,2.1
