,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, Octavia,2013,6700,Manual,52335,Petrol,125,53.3,1.4
1, Yeti Outdoor,2016,11350,Semi-Auto,28733,Petrol,125,51.4,1.2
2, Superb,2016,9740,Semi-Auto,60310,Diesel,20,70.6,1.6
3, Fabia,2017,11750,Semi-Auto,16000,Petrol,145,61.4,1.0
4, Citigo,2018,7895,Manual,14944,Petrol,145,65.7,1.0
5, Octavia,2016,14499,Manual,16855,Diesel,30,64.2,2.0
6, Fabia,2017,10750,Semi-Auto,14021,Petrol,150,61.4,1.0
7, Fabia,2017,7995,Manual,51345,Petrol,20,60.1,1.2
8, Octavia,2017,10498,Manual,48067,Diesel,0,74.3,1.6
9, Octavia,2016,11517,Semi-Auto,21732,Petrol,30,58.9,1.4
10, Citigo,2017,6495,Manual,12460,Petrol,145,64.2,1.0
11, Octavia,2019,15300,Semi-Auto,8195,Petrol,145,57.7,1.0
12, Superb,2016,14451,Manual,39089,Diesel,20,68.9,2.0
13, Octavia,2015,15495,Manual,21900,Petrol,165,45.6,2.0
14, Yeti Outdoor,2017,14000,Manual,16665,Diesel,150,62.8,2.0
15, Fabia,2019,14995,Automatic,7000,Petrol,145,60.1,1.0
16, Karoq,2019,19990,Manual,10,Diesel,145,47.1,2.0
17, Kodiaq,2019,24250,Automatic,2287,Diesel,145,49.6,2.0
18, Fabia,2019,12790,Manual,6045,Petrol,145,60.1,1.0
19, Yeti Outdoor,2016,12995,Semi-Auto,36691,Diesel,165,51.4,2.0
20, Scala,2019,16990,Semi-Auto,430,Petrol,145,47.1,1.0
21, Fabia,2018,8995,Manual,19000,Petrol,145,64.2,1.0
22, Fabia,2019,9890,Manual,1878,Petrol,150,57.7,1.0
23, Yeti Outdoor,2017,13690,Semi-Auto,16777,Petrol,125,51.4,1.2
24, Octavia,2016,9775,Manual,54140,Petrol,30,55.4,1.4
25, Karoq,2020,25999,Automatic,30,Petrol,145,40.9,1.5
26, Fabia,2019,13995,Manual,4241,Petrol,145,60.1,1.0
27, Karoq,2019,21295,Automatic,6597,Diesel,145,62.8,1.6
28, Octavia,2019,14499,Semi-Auto,13652,Diesel,145,70.6,1.6
29, Fabia,2017,8795,Manual,6767,Petrol,145,57.7,1.0
30, Octavia,2019,12590,Manual,14523,Petrol,150,55.4,1.5
31, Octavia,2019,18767,Manual,2876,Diesel,145,53.3,2.0
32, Karoq,2019,19995,Automatic,11899,Diesel,145,62.8,1.6
33, Octavia,2019,18950,Automatic,5850,Diesel,150,50.4,2.0
34, Octavia,2019,15690,Automatic,9732,Diesel,145,72.4,1.6
35, Karoq,2018,17450,Manual,6368,Petrol,150,53.3,1.0
36, Fabia,2017,7990,Manual,36594,Petrol,150,60.1,1.2
37, Superb,2019,17998,Manual,12324,Diesel,150,65.7,2.0
38, Citigo,2017,6995,Manual,14326,Petrol,145,64.2,1.0
39, Fabia,2017,10980,Manual,24500,Other,145,58.9,1.2
40, Fabia,2019,9995,Manual,100,Petrol,145,57.7,1.0
41, Fabia,2017,9295,Manual,15164,Petrol,145,60.1,1.2
42, Karoq,2019,17995,Manual,4917,Petrol,145,44.1,1.0
43, Kamiq,2019,19820,Manual,1125,Petrol,145,47.9,1.0
44, Octavia,2019,19290,Automatic,3359,Petrol,145,35.8,2.0
45, Superb,2017,14490,Semi-Auto,53750,Diesel,145,62.8,2.0
46, Octavia,2019,14690,Semi-Auto,15276,Diesel,150,70.6,1.6
47, Scala,2019,15795,Manual,4352,Petrol,145,49.6,1.0
48, Kodiaq,2017,22490,Automatic,8744,Petrol,145,39.8,1.4
49, Yeti Outdoor,2017,11495,Manual,54066,Diesel,150,62.8,2.0
50, Fabia,2018,10295,Manual,12941,Petrol,145,64.2,1.0
51, Karoq,2018,16480,Manual,22749,Petrol,150,52.3,1.5
52, Fabia,2019,10950,Manual,6260,Petrol,145,51.4,1.0
53, Octavia,2019,15671,Manual,1351,Petrol,145,52.3,1.5
54, Kamiq,2020,20999,Manual,1169,Petrol,145,46.3,1.5
55, Karoq,2019,26490,Automatic,5029,Petrol,145,33.2,2.0
56, Octavia,2015,10499,Automatic,11033,Petrol,30,58.9,1.4
57, Fabia,2019,14295,Manual,1758,Petrol,145,51.4,1.0
58, Kodiaq,2019,27994,Automatic,1452,Diesel,145,42.2,2.0
59, Octavia,2019,15990,Semi-Auto,13904,Petrol,145,54.3,1.5
60, Karoq,2019,25450,Manual,100,Diesel,145,42.8,2.0
61, Citigo,2013,3995,Automatic,87000,Petrol,20,64.2,1.0
62, Octavia,2017,10991,Manual,36859,Petrol,150,57.7,1.5
63, Kodiaq,2019,26500,Automatic,250,Petrol,150,32.5,1.5
64, Fabia,2019,11430,Manual,14169,Petrol,150,61.4,1.0
65, Superb,2019,19499,Automatic,3280,Diesel,145,51.4,1.6
66, Superb,2019,18490,Manual,12008,Petrol,150,40.9,1.5
67, Fabia,2018,9998,Manual,16132,Petrol,145,57.7,1.0
68, Fabia,2015,7999,Manual,24000,Petrol,20,58.9,1.2
69, Yeti Outdoor,2017,15640,Semi-Auto,10581,Petrol,150,51.4,1.2
70, Octavia,2016,8375,Manual,55000,Diesel,0,74.3,1.6
71, Kodiaq,2018,17995,Manual,23511,Diesel,145,52.3,2.0
72, Fabia,2017,9150,Manual,20193,Petrol,150,64.2,1.0
73, Kodiaq,2017,18995,Manual,40499,Petrol,150,40.9,1.4
74, Fabia,2018,9400,Manual,14592,Petrol,145,64.2,1.0
75, Octavia,2017,12000,Manual,17048,Diesel,20,70.6,2.0
76, Kamiq,2019,19250,Semi-Auto,2197,Petrol,145,44.1,1.5
77, Kodiaq,2019,19995,Manual,22190,Petrol,145,34.5,1.5
78, Superb,2017,15790,Semi-Auto,29378,Diesel,125,61.4,2.0
79, Octavia,2017,11199,Manual,16352,Diesel,0,74.3,1.6
80, Fabia,2019,11995,Manual,800,Petrol,145,51.4,1.0
81, Octavia,2019,16495,Manual,2600,Diesel,145,54.3,2.0
82, Yeti,2017,12495,Manual,19025,Petrol,125,51.4,1.2
83, Yeti Outdoor,2017,14950,Manual,19627,Diesel,145,62.8,2.0
84, Fabia,2018,10379,Semi-Auto,14587,Petrol,145,61.4,1.0
85, Octavia,2017,12245,Manual,22022,Diesel,20,67.3,1.6
86, Kodiaq,2017,18495,Manual,21154,Diesel,145,52.3,2.0
87, Rapid,2015,7995,Manual,31670,Petrol,30,57.7,1.2
88, Octavia,2016,9690,Manual,31080,Petrol,20,62.8,1.0
89, Karoq,2019,19300,Manual,2329,Diesel,145,50.4,2.0
90, Fabia,2019,10167,Manual,11498,Petrol,150,57.7,1.0
91, Fabia,2016,7995,Manual,24487,Petrol,20,60.1,1.2
92, Octavia,2016,8795,Manual,44000,Petrol,30,55.4,1.4
93, Octavia,2016,11890,Semi-Auto,24054,Petrol,30,58.9,1.4
94, Kodiaq,2018,23990,Automatic,17652,Diesel,150,49.6,2.0
95, Fabia,2016,8995,Manual,37800,Petrol,20,60.1,1.2
96, Fabia,2016,8990,Manual,34521,Petrol,20,58.9,1.2
97, Fabia,2018,9524,Manual,32013,Petrol,150,64.2,1.0
98, Superb,2018,22895,Semi-Auto,3489,Petrol,145,39.8,2.0
99, Octavia,2016,14995,Manual,22620,Diesel,30,62.8,2.0
100, Yeti,2016,11995,Semi-Auto,24800,Petrol,125,51.4,1.2
101, Fabia,2019,13295,Automatic,14012,Petrol,145,60.1,1.0
102, Octavia,2019,13295,Automatic,14566,Diesel,150,72.4,1.6
103, Fabia,2019,9895,Manual,3477,Petrol,145,57.7,1.0
104, Superb,2017,19300,Automatic,7952,Diesel,145,61.4,2.0
105, Fabia,2019,11785,Manual,2987,Petrol,145,51.4,1.0
106, Kodiaq,2020,32090,Automatic,6637,Diesel,150,39.2,2.0
107, Fabia,2019,13654,Semi-Auto,12329,Petrol,150,60.1,1.0
108, Superb,2017,12295,Semi-Auto,33571,Diesel,145,70.6,1.6
