,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, Aygo,2014,5198,Manual,17920,Petrol,0,69.0,1.0
1, Auris,2015,10995,Automatic,56000,Hybrid,0,76.4,1.8
2, RAV4,2016,15990,Manual,20553,Diesel,125,60.1,2.0
3, Aygo,2017,9295,Manual,7824,Petrol,145,68.9,1.0
4, Aygo,2017,6795,Manual,33663,Petrol,145,69.0,1.0
5, Yaris,2019,12200,Manual,4986,Petrol,145,47.9,1.5
6, Aygo,2017,6750,Manual,23002,Petrol,150,69.0,1.0
7, Aygo,2017,5295,Manual,15666,Petrol,0,69.0,1.0
8, Yaris,2017,12088,Automatic,23339,Hybrid,0,86.0,1.5
9, Auris,2016,15495,Automatic,11898,Hybrid,0,78.5,1.8
10, Yaris,2018,9830,Manual,35000,Petrol,145,47.1,1.5
11, Avensis,2014,7250,Manual,65000,Diesel,30,62.8,2.0
12, Yaris,2019,12495,Automatic,6000,Petrol,145,47.9,1.5
13, Auris,2014,10333,Automatic,52317,Hybrid,0,72.4,1.8
14, Auris,2016,9450,Manual,36283,Petrol,125,52.3,1.2
15, Aygo,2018,9800,Semi-Auto,13908,Petrol,145,67.3,1.0
16, Yaris,2019,12252,Manual,7403,Petrol,145,47.9,1.5
17, PROACE VERSO,2019,27998,Automatic,10,Diesel,145,38.7,2.0
18, C-HR,2017,17000,Automatic,39917,Hybrid,135,74.3,1.8
19, Hilux,2017,23400,Manual,57932,Diesel,260,40.4,2.4
20, GT86,2019,25850,Manual,4442,Petrol,145,33.2,2.0
21, Aygo,2019,9445,Manual,3500,Petrol,145,56.5,1.0
22, Auris,2015,12795,Automatic,34500,Hybrid,0,74.3,1.8
23, Aygo,2017,9370,Manual,17443,Petrol,145,68.9,1.0
24, Aygo,2019,9990,Manual,5709,Petrol,145,57.7,1.0
25, Aygo,2018,8698,Manual,6144,Petrol,150,68.9,1.0
26, Aygo,2015,6000,Manual,32084,Petrol,0,69.0,1.0
27, Yaris,2015,8200,Manual,17305,Petrol,30,58.0,1.3
28, Aygo,2020,10750,Manual,15,Petrol,150,57.7,1.0
29, Aygo,2010,3195,Manual,54000,Petrol,20,61.4,1.0
30, Auris,2016,11995,Automatic,33371,Hybrid,0,78.5,1.8
31, Aygo,2019,9450,Manual,1762,Petrol,145,56.5,1.0
32, Verso,2015,9495,Manual,34000,Petrol,200,42.8,1.6
33, Yaris,2014,11995,Automatic,7881,Hybrid,0,76.3,1.5
34, Aygo,2019,11995,Manual,2554,Petrol,145,56.5,1.0
35, PROACE VERSO,2020,47990,Automatic,1255,Diesel,145,38.7,2.0
36, C-HR,2017,21290,Automatic,15977,Hybrid,135,74.3,1.8
37, Aygo,2017,6990,Manual,3282,Petrol,150,69.0,1.0
38, Yaris,2016,9700,Manual,19000,Petrol,30,58.0,1.3
39, Yaris,2019,12950,Manual,7300,Petrol,150,47.9,1.5
40, Aygo,2017,6840,Manual,24036,Petrol,145,68.9,1.0
41, Yaris,2017,9300,Manual,41054,Petrol,30,58.0,1.3
42, Auris,2014,12995,Automatic,30999,Hybrid,0,76.4,1.8
43, RAV4,2013,10498,Manual,54057,Diesel,160,49.6,2.2
44, Yaris,2019,12619,Manual,2609,Petrol,145,47.9,1.5
45, Aygo,2018,6635,Manual,17822,Petrol,150,69.0,1.0
46, Yaris,2017,8975,Manual,12428,Petrol,30,58.0,1.3
47, Yaris,2018,11799,Manual,5771,Petrol,145,47.1,1.5
48, Hilux,2015,9995,Manual,80069,Diesel,260,38.7,2.5
49, Aygo,2017,7490,Manual,12844,Petrol,145,68.9,1.0
50, C-HR,2017,17399,Automatic,31216,Hybrid,0,74.3,1.8
51, Aygo,2018,8000,Manual,12000,Petrol,150,56.5,1.0
52, Aygo,2018,8685,Manual,8764,Petrol,150,56.5,1.0
53, Yaris,2014,6230,Manual,44011,Petrol,125,52.3,1.3
54, Yaris,2019,13790,Automatic,2191,Petrol,145,47.9,1.5
55, C-HR,2017,20995,Automatic,11084,Hybrid,0,74.3,1.8
56, Yaris,2018,9950,Manual,20559,Petrol,150,58.9,1.5
57, Yaris,2020,14750,Manual,574,Petrol,150,47.9,1.5
58, C-HR,2018,17798,Automatic,24248,Hybrid,135,74.3,1.8
59, Avensis,2017,13295,Automatic,14824,Petrol,145,46.3,1.8
60, Yaris,2014,5900,Manual,54360,Petrol,125,51.4,1.3
61, Avensis,2018,12998,Automatic,35507,Petrol,145,44.1,1.8
62, C-HR,2019,18600,Manual,12644,Petrol,145,41.5,1.2
63, Yaris,2018,13995,Automatic,28558,Hybrid,135,67.3,1.5
64, Yaris,2019,16500,Automatic,3056,Hybrid,140,76.3,1.5
65, Yaris,2016,14000,Automatic,12493,Hybrid,0,78.0,1.5
66, Aygo,2018,8995,Manual,8488,Petrol,145,68.9,1.0
67, Verso,2016,9990,Manual,31316,Petrol,205,41.5,1.6
68, Aygo,2016,6995,Manual,18512,Petrol,0,69.0,1.0
69, Aygo,2016,8695,Automatic,15314,Other,0,67.0,1.0
70, Aygo,2019,10382,Semi-Auto,6774,Petrol,150,55.4,1.0
71, Yaris,2016,11690,Automatic,25601,Other,0,86.0,1.5
72, Auris,2014,6995,Manual,31000,Petrol,145,46.3,1.6
73, Aygo,2017,7300,Manual,37723,Petrol,0,69.0,1.0
74, Prius,2019,23490,Automatic,4605,Hybrid,140,61.4,1.8
75, RAV4,2015,11395,Manual,66973,Diesel,125,57.6,2.0
76, Yaris,2019,11440,Manual,7244,Petrol,145,47.9,1.5
77, Corolla,2019,23000,Automatic,6788,Hybrid,135,85.6,1.8
78, Yaris,2017,13295,Automatic,13830,Hybrid,135,76.3,1.5
79, Aygo,2013,4750,Manual,35969,Petrol,0,65.7,1.0
80, Auris,2014,11495,Automatic,33401,Hybrid,0,72.4,1.8
81, Yaris,2016,8995,Manual,24000,Petrol,30,58.0,1.3
82, Aygo,2017,7698,Manual,13166,Petrol,145,68.9,1.0
83, Aygo,2018,8699,Manual,13278,Petrol,145,68.9,1.0
84, Auris,2013,7000,Manual,27148,Petrol,125,51.4,1.3
85, Auris,2014,12995,Automatic,64108,Hybrid,0,72.4,1.8
86, Yaris,2017,9600,Manual,31413,Petrol,145,58.9,1.5
87, Prius,2016,18675,Automatic,21291,Hybrid,0,94.1,1.8
88, Hilux,2016,11292,Manual,51840,Diesel,260,38.7,2.5
89, RAV4,2013,10191,Manual,54115,Diesel,160,49.6,2.2
90, C-HR,2020,27999,Automatic,3545,Hybrid,140,54.3,2.0
91, Yaris,2017,10995,Automatic,22909,Hybrid,0,86.0,1.5
92, Prius,2016,19990,Automatic,9320,Hybrid,0,94.1,1.8
93, Yaris,2017,9890,Manual,25006,Petrol,30,55.0,1.3
94, Yaris,2019,14249,Automatic,18500,Hybrid,140,76.3,1.5
95, Aygo,2015,6500,Manual,23427,Petrol,0,69.0,1.0
96, Aygo,2019,10490,Manual,4679,Petrol,150,57.7,1.0
97, Yaris,2018,10310,Manual,10564,Petrol,145,58.9,1.5
98, Yaris,2017,11326,Automatic,21916,Petrol,145,60.1,1.5
99, Yaris,2017,8298,Manual,29855,Petrol,30,58.0,1.3
100, RAV4,2017,22900,Automatic,14873,Hybrid,20,57.6,2.5
101, Auris,2018,17195,Automatic,16113,Hybrid,135,65.6,1.8
102, Aygo,2018,6991,Manual,52253,Petrol,145,68.9,1.0
103, Yaris,2017,10999,Automatic,9589,Petrol,145,60.1,1.5
104, C-HR,2017,21499,Automatic,21509,Hybrid,0,74.3,1.8
105, Aygo,2019,10606,Automatic,8560,Petrol,145,55.4,1.0
106, Auris,2017,14395,Automatic,19369,Hybrid,0,78.5,1.8
107, Aygo,2017,9871,Semi-Auto,5403,Petrol,150,67.3,1.0
108, Hilux,2014,9694,Manual,93334,Diesel,260,38.7,2.5
109, Aygo,2019,8790,Manual,2106,Petrol,145,56.5,1.0
110, Yaris,2016,7498,Manual,30712,Petrol,30,58.0,1.3
111, Aygo,2017,6999,Manual,12590,Petrol,0,69.0,1.0
112, Aygo,2016,6698,Manual,20169,Petrol,0,69.0,1.0
113, Prius,2016,16999,Automatic,46994,Hybrid,0,85.6,1.8
114, Yaris,2017,9698,Manual,30996,Petrol,145,56.5,1.5
115, Yaris,2019,15950,Automatic,10589,Hybrid,150,43.5,1.5
116, Avensis,2009,4994,Manual,89000,Diesel,140,54.3,2.0
117, Yaris,2019,11895,Manual,11849,Petrol,145,47.9,1.5
118, Prius,2015,14499,Automatic,61253,Hybrid,0,72.4,1.8
119, C-HR,2017,22495,Automatic,51800,Hybrid,0,74.3,1.8
120, Aygo,2019,9990,Manual,1707,Petrol,145,57.7,1.0
121, Aygo,2017,8995,Manual,11342,Petrol,145,68.9,1.0
122, Auris,2014,11873,Automatic,54106,Hybrid,0,70.6,1.8
123, Land Cruiser,2019,42444,Semi-Auto,10083,Diesel,145,30.1,2.8
124, Yaris,2014,6895,Manual,55000,Petrol,30,55.0,1.3
125, Verso,2011,5899,Manual,74488,Petrol,200,41.5,1.6
126, Yaris,2016,8998,Manual,16197,Petrol,30,58.0,1.3
127, Yaris,2019,11498,Manual,5336,Petrol,150,47.9,1.5
128, Auris,2018,15450,Automatic,20000,Hybrid,135,68.8,1.8
129, RAV4,2017,19000,Automatic,16000,Petrol,200,43.5,2.0
130, Aygo,2015,5795,Manual,34182,Petrol,0,69.0,1.0
131, Yaris,2014,5401,Manual,60572,Petrol,125,52.3,1.3
