,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, Insignia,2019,14998,Manual,27394,Diesel,145,53.3,2.0
1, Astra,2017,8291,Manual,56982,Diesel,145,76.3,1.6
2, Meriva,2014,5295,Manual,56284,Petrol,150,47.1,1.4
3, Corsa,2020,16998,Manual,10,Petrol,145,52.3,1.2
4, Mokka X,2018,12498,Manual,1659,Petrol,145,47.1,1.4
5, Mokka X,2018,11999,Manual,13597,Petrol,145,47.1,1.4
6, Mokka X,2019,14200,Automatic,19917,Petrol,145,37.2,1.4
7, Astra,2018,9999,Manual,12532,Petrol,145,64.2,1.0
8, Antara,2012,5695,Manual,63725,Diesel,240,42.8,2.2
9, Corsa,2017,7999,Manual,24579,Petrol,145,54.3,1.4
10, Astra,2015,7775,Manual,47799,Diesel,0,78.5,1.6
11, Astra,2016,7240,Automatic,46528,Diesel,160,49.6,2.0
12, Astra,2018,11491,Manual,26853,Petrol,145,51.4,1.4
13, Mokka,2015,10955,Automatic,39500,Petrol,160,43.5,1.4
14, Mokka X,2018,11798,Manual,26342,Petrol,145,47.1,1.4
15, Corsa,2017,8140,Manual,23244,Petrol,145,54.3,1.4
16, Corsa,2017,7289,Manual,22500,Petrol,150,54.3,1.4
17, Viva,2017,5825,Manual,19923,Petrol,20,62.8,1.0
18, Astra,2017,10990,Manual,22844,Diesel,20,72.4,1.6
19, Mokka X,2017,8550,Manual,56399,Diesel,30,65.7,1.6
20, Corsa,2020,16998,Manual,10,Petrol,145,52.3,1.2
21, Corsa,2017,7295,Manual,26423,Petrol,30,55.4,1.4
22, Corsa,2016,8699,Manual,7811,Petrol,30,54.4,1.4
23, Viva,2017,6500,Manual,9600,Petrol,20,62.8,1.0
24, Mokka,2016,9495,Manual,28926,Petrol,160,44.8,1.4
25, Zafira,2017,9700,Manual,34108,Petrol,200,42.2,1.4
26, Zafira,2012,4699,Manual,48372,Petrol,205,42.2,1.6
27, Astra,2016,8999,Manual,35824,Petrol,125,51.4,1.4
28, Astra,2017,10100,Automatic,17119,Petrol,150,52.3,1.4
29, Corsa,2019,12995,Automatic,1000,Petrol,145,39.8,1.4
30, Astra,2020,14990,Manual,100,Petrol,145,54.3,1.2
31, Insignia,2013,6799,Automatic,46002,Diesel,160,49.6,2.0
32, Zafira,2016,8430,Manual,49809,Diesel,20,68.9,1.6
33, Crossland X,2019,15000,Manual,10469,Diesel,145,60.1,1.5
34, Grandland X,2019,19991,Manual,3287,Petrol,145,45.6,1.2
35, Corsa,2011,4995,Automatic,39000,Petrol,140,49.6,1.4
36, Mokka X,2016,11000,Automatic,16850,Petrol,160,43.5,1.4
37, Combo Life,2019,14298,Manual,4960,Diesel,145,53.3,1.5
38, Corsa,2015,6998,Manual,21340,Petrol,125,54.3,1.4
39, Corsa,2015,6926,Manual,32127,Petrol,30,55.4,1.4
40, Insignia,2017,10990,Manual,32058,Diesel,145,65.7,1.6
41, Mokka X,2017,9500,Manual,30748,Petrol,145,47.1,1.4
42, Astra,2016,10000,Manual,20082,Petrol,125,51.4,1.4
43, Adam,2018,8994,Manual,4734,Petrol,145,53.3,1.2
44, Astra,2016,9495,Manual,31665,Diesel,20,72.4,1.6
45, Corsa,2016,7495,Manual,19900,Petrol,30,55.4,1.4
46, Corsa,2015,6995,Manual,62749,Petrol,30,56.5,1.0
47, Astra,2017,11495,Manual,18200,Petrol,145,51.4,1.4
48, Mokka X,2017,10424,Manual,35320,Petrol,145,47.1,1.4
49, Mokka X,2019,15790,Manual,9490,Petrol,145,39.2,1.4
50, Mokka X,2018,11295,Manual,13221,Petrol,145,39.2,1.4
51, Mokka X,2018,14299,Automatic,11000,Petrol,145,37.2,1.4
52, Astra,2015,8995,Manual,30105,Petrol,125,51.4,1.4
53, Mokka X,2019,12995,Manual,9050,Petrol,145,39.2,1.4
54, Corsa,2015,6291,Manual,39844,Petrol,125,52.3,1.2
55, Astra,2018,10999,Manual,1734,Petrol,145,62.8,1.0
56, Crossland X,2019,11199,Manual,5758,Petrol,150,46.3,1.2
57, Adam,2016,7499,Manual,24456,Petrol,125,53.3,1.2
58, Corsa,2018,9250,Manual,5404,Petrol,145,43.5,1.4
59, Astra,2016,8000,Manual,31998,Petrol,125,52.3,1.4
60, Grandland X,2019,19390,Manual,6752,Diesel,145,48.7,1.5
61, Corsa,2016,9703,Automatic,15325,Petrol,145,47.9,1.4
62, Insignia,2014,5995,Manual,45016,Diesel,0,76.3,2.0
63, Corsa,2019,10490,Manual,100,Petrol,145,43.5,1.4
64, Viva,2019,6695,Manual,4415,Petrol,150,46.3,1.0
65, Corsa,2015,7695,Manual,24536,Petrol,125,54.3,1.4
66, Corsa,2015,6049,Manual,57483,Petrol,125,53.3,1.2
67, Insignia,2018,11799,Manual,32255,Diesel,145,65.7,1.6
68, Mokka,2016,10300,Manual,21454,Petrol,160,44.8,1.4
69, Insignia,2019,16998,Manual,14156,Diesel,150,51.4,2.0
70, Corsa,2020,16998,Manual,10,Petrol,145,52.3,1.2
71, Viva,2017,5491,Manual,20880,Petrol,20,62.8,1.0
72, Mokka X,2017,9770,Manual,10056,Petrol,200,42.2,1.6
73, Astra,2018,16295,Manual,50,Petrol,140,51.4,1.4
74, Mokka X,2019,14995,Manual,10004,Petrol,145,39.2,1.4
75, Astra,2020,15390,Manual,100,Petrol,145,54.3,1.2
76, Crossland X,2019,11999,Manual,13617,Petrol,145,47.1,1.2
77, Adam,2016,8000,Manual,7778,Petrol,125,52.3,1.4
78, Zafira,2016,8985,Manual,56047,Diesel,20,68.9,1.6
79, Crossland X,2019,11499,Manual,14994,Petrol,145,47.1,1.2
80, Corsa,2017,7699,Manual,19000,Petrol,30,55.4,1.4
81, Corsa,2017,6491,Manual,21011,Petrol,145,55.4,1.4
82, Crossland X,2019,11095,Manual,12645,Petrol,145,47.1,1.2
83, Corsa,2016,7000,Manual,42006,Petrol,30,55.4,1.4
84, Adam,2017,9000,Manual,24376,Petrol,145,53.3,1.2
85, Corsa,2017,6490,Manual,18000,Petrol,145,55.4,1.4
86, Zafira,2016,9200,Manual,17465,Petrol,200,42.2,1.4
87, Insignia,2019,16498,Manual,21736,Diesel,150,49.6,2.0
88, Corsa,2019,10990,Manual,435,Petrol,145,43.5,1.4
89, Insignia,2017,12999,Manual,14668,Diesel,150,54.3,2.0
90, Mokka,2017,12500,Manual,27202,Petrol,145,47.1,1.4
91, Corsa,2018,8330,Manual,16187,Petrol,145,55.4,1.4
92, Corsa,2017,10798,Automatic,17285,Petrol,145,47.9,1.4
93, Mokka X,2017,11395,Manual,30021,Petrol,145,47.1,1.4
94, Corsa,2016,7543,Manual,16067,Petrol,30,55.4,1.4
95, Astra,2016,8999,Manual,53076,Diesel,0,76.3,1.6
96, Corsa,2018,9499,Automatic,16350,Petrol,145,39.8,1.4
97, GTC,2016,9670,Manual,31050,Diesel,30,65.7,1.6
98, Astra,2017,11000,Manual,36075,Diesel,145,76.3,0.0
