,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
0, Up,2017,7040,Manual,36596,Petrol,20,64.2,1.0
1, Polo,2015,11000,Semi-Auto,13791,Petrol,20,60.1,1.2
2, Polo,2017,8990,Manual,53844,Petrol,20,58.9,1.0
3, Golf,2019,16999,Manual,8526,Petrol,150,47.1,1.5
4, Golf,2012,8999,Manual,70816,Diesel,145,53.3,2.0
5, Sharan,2017,17995,Semi-Auto,34333,Diesel,145,54.3,2.0
6, T-Cross,2019,19995,Manual,7753,Petrol,145,47.9,1.0
7, Polo,2015,8062,Manual,43093,Petrol,20,60.1,1.2
8, Passat,2019,31998,Semi-Auto,10,Hybrid,135,43.5,1.4
9, Golf SV,2016,9898,Manual,29720,Diesel,0,72.4,1.6
10, Golf,2019,14950,Manual,11600,Diesel,145,57.7,1.6
11, Golf,2019,13260,Manual,15666,Diesel,145,57.7,1.6
12, Up,2019,9600,Manual,1992,Petrol,145,54.3,1.0
13, Tiguan Allspace,2018,27000,Manual,6000,Diesel,145,49.6,2.0
14, Tiguan,2019,28989,Semi-Auto,4102,Petrol,145,31.4,2.0
15, Golf,2016,12495,Manual,27409,Petrol,30,53.3,1.4
16, Polo,2016,8698,Manual,20686,Petrol,20,60.1,1.0
17, Scirocco,2011,5995,Semi-Auto,120000,Diesel,125,57.6,2.0
18, Up,2014,5221,Manual,45594,Petrol,20,62.8,1.0
19, Tiguan,2017,21991,Semi-Auto,39773,Petrol,145,38.2,2.0
20, Golf,2016,15780,Manual,34714,Diesel,20,67.3,2.0
21, Up,2020,10790,Manual,1000,Petrol,150,54.3,1.0
22, Polo,2019,12191,Manual,19807,Petrol,150,48.7,1.0
23, Golf,2020,27989,Automatic,8256,Petrol,145,37.7,2.0
24, Passat,2015,11777,Automatic,63820,Diesel,30,62.8,2.0
25, Golf,2019,28999,Automatic,11635,Petrol,145,32.8,2.0
26, Polo,2018,12491,Manual,12000,Petrol,145,64.2,1.0
27, Up,2018,9999,Manual,9726,Petrol,145,64.2,1.0
28, Golf,2016,15495,Manual,48440,Diesel,20,67.3,2.0
29, Golf,2019,29885,Automatic,1797,Petrol,150,37.7,2.0
30, Caddy Life,2017,19995,Manual,15860,Petrol,145,56.5,2.0
31, Golf,2016,11798,Semi-Auto,39126,Petrol,0,65.7,1.0
32, Golf,2017,11500,Semi-Auto,57600,Petrol,30,55.4,1.4
33, Polo,2017,11588,Manual,9718,Petrol,150,60.1,1.2
34, Touareg,2019,39990,Automatic,11290,Diesel,145,34.0,3.0
35, Arteon,2019,24995,Semi-Auto,4697,Diesel,145,50.4,2.0
36, Golf,2019,21390,Manual,10,Petrol,145,47.9,1.5
37, Tiguan,2019,22446,Manual,11007,Diesel,145,47.9,2.0
38, Golf,2016,12495,Manual,27000,Petrol,30,53.3,1.4
39, Tiguan,2017,18495,Semi-Auto,21820,Diesel,160,49.6,2.0
40, Passat,2015,11000,Manual,50055,Diesel,20,68.9,1.6
41, Golf SV,2018,13998,Semi-Auto,9612,Petrol,145,54.3,1.4
42, Polo,2018,11299,Manual,20862,Petrol,145,64.2,1.0
43, Golf SV,2016,13489,Semi-Auto,15452,Petrol,30,54.3,1.4
44, Polo,2016,10700,Manual,9613,Petrol,20,60.1,1.2
45, Golf,2015,10999,Automatic,56728,Diesel,30,62.8,2.0
46, Polo,2019,14782,Manual,6000,Petrol,145,52.3,1.0
47, Golf,2019,18985,Manual,2702,Petrol,145,45.6,1.5
48, Sharan,2001,3490,Manual,68010,Petrol,330,30.1,2.0
49, Polo,2017,9322,Manual,34750,Petrol,145,60.1,1.0
50, Polo,2016,12495,Manual,15093,Petrol,0,65.7,1.0
51, Polo,2017,10950,Manual,13700,Petrol,150,60.1,1.2
52, T-Roc,2018,20998,Manual,12043,Petrol,145,53.3,1.5
53, Touran,2016,17995,Semi-Auto,37295,Diesel,125,58.9,2.0
54, Tiguan,2019,30495,Semi-Auto,3421,Diesel,145,45.6,2.0
55, Golf,2019,14650,Manual,15222,Diesel,145,57.7,1.6
56, Polo,2019,13480,Manual,4936,Petrol,145,48.7,1.0
57, T-Roc,2018,17995,Manual,12000,Petrol,150,55.4,1.0
58, Passat,2016,10399,Manual,48918,Diesel,20,70.6,1.6
59, Passat,2015,9990,Manual,62540,Diesel,20,67.3,2.0
60, Polo,2018,17495,Semi-Auto,13346,Petrol,145,47.9,2.0
61, Caravelle,2019,41000,Semi-Auto,4500,Diesel,145,33.6,2.0
62, Touareg,2016,18000,Semi-Auto,68000,Diesel,240,42.8,3.0
63, Polo,2016,12990,Semi-Auto,33360,Petrol,125,50.4,1.8
64, Passat,2016,11499,Manual,66904,Diesel,20,67.3,2.0
65, Arteon,2019,25990,Semi-Auto,18000,Petrol,145,47.1,2.0
66, Golf,2016,10990,Manual,44380,Diesel,0,74.3,1.6
67, Golf,2015,8590,Manual,40934,Diesel,0,88.3,1.6
68, California,2019,54995,Semi-Auto,3500,Diesel,260,32.1,2.0
69, Up,2017,8000,Manual,47800,Petrol,150,60.1,1.0
70, Up,2018,7450,Manual,9100,Petrol,150,64.2,1.0
71, Golf,2019,22500,Automatic,1900,Petrol,145,44.8,1.5
72, Tiguan,2016,17500,Manual,15271,Diesel,160,50.4,2.0
73, Polo,2019,15465,Manual,3240,Petrol,150,52.3,1.0
74, T-Roc,2020,25490,Manual,2500,Petrol,145,44.1,1.5
75, Up,2019,9699,Manual,501,Petrol,145,54.3,1.0
76, Polo,2016,9200,Manual,26141,Petrol,20,60.1,1.0
77, Polo,2017,7600,Manual,36578,Petrol,145,60.1,1.0
78, Tiguan,2017,16950,Semi-Auto,67000,Diesel,160,49.6,2.0
79, Tiguan,2020,26699,Semi-Auto,2000,Diesel,145,46.3,2.0
80, Polo,2019,19891,Semi-Auto,3987,Petrol,145,39.8,2.0
81, Golf,2018,14991,Manual,17902,Petrol,150,58.9,1.5
82, Tiguan,2019,25495,Manual,8863,Diesel,145,47.9,2.0
83, Tiguan,2020,33999,Semi-Auto,750,Petrol,145,31.0,2.0
84, T-Roc,2019,19995,Manual,2500,Diesel,145,50.4,2.0
85, Polo,2020,13999,Manual,5000,Petrol,145,47.9,1.0
86, Touareg,2019,42499,Automatic,6500,Diesel,145,34.0,3.0
87, Polo,2015,8298,Manual,29091,Petrol,20,60.1,1.0
88, Passat,2019,24498,Semi-Auto,10,Diesel,145,53.3,2.0
89, Tiguan,2017,25995,Semi-Auto,17000,Diesel,150,49.6,2.0
90, Tiguan,2019,22193,Manual,11500,Diesel,150,47.9,2.0
91, Polo,2016,10800,Manual,18420,Petrol,20,60.1,1.2
92, Golf,2015,15800,Manual,56914,Petrol,200,39.8,2.0
93, Scirocco,2014,10130,Manual,46772,Diesel,20,55.4,2.0
94, Polo,2018,12995,Manual,2665,Petrol,145,52.3,1.0
95, Golf,2019,19416,Semi-Auto,6297,Petrol,145,44.1,1.5
96, Polo,2016,9750,Manual,27408,Petrol,20,60.1,1.2
97, Shuttle,2018,25500,Semi-Auto,33455,Diesel,145,47.1,2.0
98, Golf,2016,9999,Manual,55303,Diesel,20,68.9,2.0
99, Golf,2015,12990,Automatic,78000,Petrol,160,44.1,2.0
100, Touareg,2016,20980,Semi-Auto,45203,Diesel,240,42.8,3.0
101, Polo,2019,19999,Semi-Auto,3694,Petrol,145,39.8,2.0
102, Polo,2017,12191,Semi-Auto,17573,Petrol,150,60.1,1.2
103, Up,2016,6700,Manual,20663,Petrol,20,62.8,1.0
104, Tiguan,2019,27990,Automatic,1881,Diesel,145,39.8,2.0
105, Arteon,2017,20431,Semi-Auto,18392,Diesel,150,62.8,2.0
106, Caravelle,2019,46999,Automatic,4473,Diesel,150,33.6,2.0
107, Golf,2018,15940,Semi-Auto,13388,Diesel,145,72.4,1.6
108, CC,2013,10000,Automatic,41394,Diesel,145,53.3,2.0
109, Golf,2015,11998,Manual,20761,Petrol,30,53.3,1.4
110, Polo,2019,12250,Manual,1250,Petrol,150,48.7,1.0
111, Touareg,2018,32030,Semi-Auto,19179,Diesel,145,34.9,3.0
112, Touran,2016,14495,Semi-Auto,49241,Diesel,30,65.7,1.6
113, Golf,2016,19689,Manual,19887,Petrol,200,39.8,2.0
114, T-Roc,2019,18990,Manual,9378,Diesel,145,50.4,1.6
115, Polo,2013,8000,Manual,40400,Petrol,20,61.4,1.4
116, Golf,2016,17890,Semi-Auto,25607,Diesel,30,62.8,2.0
117, T-Roc,2018,21495,Manual,16972,Petrol,145,53.3,1.5
118, T-Roc,2020,21250,Manual,999,Diesel,145,50.4,2.0
119, Passat,2017,14195,Semi-Auto,17653,Diesel,145,70.6,1.6
120, Polo,2012,6285,Automatic,69056,Petrol,145,47.9,1.4
121, Polo,2017,12000,Automatic,19246,Petrol,145,60.1,1.2
122, Golf,2019,22990,Semi-Auto,6000,Petrol,145,43.5,1.5
123, Golf,2019,20084,Semi-Auto,3276,Petrol,145,45.6,1.5
124, Polo,2015,9300,Manual,24193,Petrol,20,60.1,1.2
125, Golf,2017,18600,Automatic,26630,Diesel,145,57.7,2.0
126, Tiguan,2017,26202,Semi-Auto,17038,Diesel,145,49.6,2.0
127, Sharan,2016,16940,Automatic,47612,Diesel,145,53.3,2.0
128, Touran,2017,16990,Manual,20546,Diesel,145,64.2,2.0
129, Golf,2018,24489,Semi-Auto,21992,Petrol,145,39.8,2.0
130, Polo,2013,8940,Automatic,63617,Petrol,20,61.4,1.4
131, Golf,2016,11956,Semi-Auto,50000,Diesel,0,72.4,1.6
132, Polo,2016,11999,Manual,26194,Petrol,20,61.4,1.4
133, Arteon,2019,26990,Semi-Auto,9000,Petrol,145,47.1,2.0
134, Up,2017,7995,Manual,9256,Petrol,150,68.9,1.0
135, Touran,2019,23690,Automatic,4999,Diesel,145,47.9,2.0
136, Passat,2019,22950,Semi-Auto,4997,Petrol,145,39.2,1.5
137, T-Cross,2020,20990,Manual,2500,Diesel,145,52.3,1.6
138, Passat,2017,14670,Automatic,26032,Diesel,30,62.8,2.0
139, Arteon,2019,26999,Semi-Auto,6095,Petrol,150,47.1,2.0
140, Golf,2019,18780,Semi-Auto,7731,Petrol,145,47.1,1.5
141, Polo,2017,11500,Manual,18000,Petrol,145,60.1,1.2
